Point	x	y	z
529	5.079	1.556	11.222
530	5.917	1.613	10.657
531	5.917	1.613	10.657
532	5.917	1.613	10.657
533	7.047	1.752	11.265
534	7.047	1.752	11.265
535	7.521	1.575	11.251
536	7.521	1.575	11.251
537	7.521	1.575	11.251
538	7.995	1.537	11.237
539	7.995	1.537	11.237
540	8.354	1.465	10.906
541	7.87	0.909	9.992
542	7.87	0.909	9.992
543	7.87	0.909	9.992
544	7.243	0.588	9.23
545	7.243	0.588	9.23
546	6.496	0.368	8.842
547	6.496	0.368	8.842
548	6.496	0.368	8.842
549	5.744	0.095	7.971
550	5.744	0.095	7.971
551	4.849	-0.114	7.023
552	4.849	-0.114	7.023
553	4.849	-0.114	7.023
554	4.016	-0.363	6.415
555	4.016	-0.363	6.415
556	3.192	-0.531	5.888
557	3.192	-0.531	5.888
558	3.192	-0.531	5.888
559	2.613	-0.579	5.768
560	2.613	-0.579	5.768
561	2.254	-0.636	5.357
562	2.254	-0.636	5.357
563	2.254	-0.636	5.357
564	2.996	-0.21	6.515
565	2.996	-0.21	6.515
566	3.513	0.555	7.085
567	3.513	0.555	7.085
568	3.513	0.555	7.085
569	3.436	0.981	6.127
570	3.436	0.981	6.127
571	3.173	1.23	5.452
572	3.173	1.23	5.452
573	3.173	1.23	5.452
574	2.594	1.623	4.576
575	2.594	1.623	4.576
576	2.024	1.733	3.245
577	2.024	1.733	3.245
578	2.024	1.733	3.245
579	1.329	1.632	2.56
580	1.047	1.747	1.401
581	1.047	1.747	1.401
582	1.047	1.747	1.401
583	0.314	1.589	1.962
584	0.314	1.589	1.962
585	-0.274	1.474	1.732
586	-0.274	1.474	1.732
587	-0.274	1.474	1.732
588	-0.494	1.398	2.014
589	-0.494	1.398	2.014
590	-0.647	1.259	2.349
591	-0.647	1.259	2.349
592	-0.647	1.259	2.349
593	-0.331	0.857	2.996
594	-0.101	0.814	2.886
595	-0.101	0.814	2.886
596	-0.101	0.814	2.886
597	0.209	0.952	3.034
598	0.209	0.952	3.034
599	0.07	0.957	3.628
600	0.07	0.957	3.628
601	0.07	0.957	3.628
602	0.247	1.278	4.131
603	0.247	1.278	4.131
604	0.056	1.379	4.092
605	0.056	1.379	4.092
606	0.056	1.379	4.092
607	-0.187	1.249	3.977
608	-0.187	1.249	3.977
609	-1.092	0.761	4.025
610	-1.092	0.761	4.025
611	-1.092	0.761	4.025
612	-1.753	0.186	3.144
613	-1.753	0.186	3.144
614	-2.026	-0.043	2.934
615	-2.026	-0.043	2.934
616	-2.026	-0.043	2.934
617	-2.088	-0.095	4.064
618	-2.874	-0.292	4.705
619	-2.874	-0.292	4.705
620	-3.712	-0.344	5.055
621	-3.712	-0.344	5.055
622	-3.712	-0.344	5.055
623	-4.368	-0.402	5.591
624	-4.368	-0.402	5.591
625	-4.061	-0.512	6.75
626	-4.061	-0.512	6.75
627	-4.061	-0.512	6.75
628	-4.339	-0.699	8.057
629	-4.339	-0.699	8.057
630	-4.684	-0.708	6.357
631	-4.684	-0.708	6.357
632	-4.684	-0.708	6.357
633	-4.502	-0.809	3.896
634	-4.502	-0.809	3.896
635	-5.062	-0.847	3.005
636	-5.062	-0.847	3.005
637	-5.062	-0.847	3.005
638	-5.809	-0.957	3.312
639	-5.809	-0.957	3.312
640	-6.321	-1.11	4.696
641	-6.321	-1.11	4.696
642	-6.321	-1.11	4.696
643	-6.532	-1.489	6.295
644	-6.532	-1.489	6.295
645	-6.934	-1.795	8.67
646	-6.934	-1.795	8.67
647	-6.934	-1.795	8.67
648	-7.835	-2.437	10.901
649	-7.835	-2.437	10.901
650	-8.428	-2.734	12.884
651	-8.428	-2.734	12.884
652	-8.428	-2.734	12.884
653	-9.08	-2.695	12.649
654	-9.08	-2.695	12.649
655	-8.921	-2.504	10.533
656	-8.921	-2.504	10.533
657	-8.749	-2.221	9.513
658	-8.749	-2.221	9.513
659	-8.969	-2.178	9.609
660	-8.969	-2.178	9.609
661	-8.969	-2.178	9.609
662	-8.586	-2.389	9.671
663	-8.586	-2.389	9.671
664	-7.935	-2.7	11.749
665	-7.935	-2.7	11.749
666	-7.935	-2.7	11.749
667	-7.916	-3.069	13.741
668	-7.916	-3.069	13.741
669	-8.242	-4.338	15.728
670	-8.242	-4.338	15.728
671	-8.242	-4.338	15.728
672	-8.342	-5.544	16.47
673	-8.342	-5.544	16.47
674	-7.657	-5.999	16.997
675	-7.657	-5.999	16.997
676	-7.657	-5.999	16.997
677	-7.36	-6.502	16.461
678	-7.36	-6.502	16.461
679	-7.451	-7.302	15.398
680	-7.451	-7.302	15.398
681	-7.451	-7.302	15.398
682	-7.241	-8.336	13.492
683	-7.241	-8.336	13.492
684	-5.895	-8.595	13.085
685	-5.895	-8.595	13.085
686	-5.895	-8.595	13.085
687	-3.875	-8.082	14.225
688	-3.875	-8.082	14.225
689	-1.906	-7.541	16.068
690	-1.906	-7.541	16.068
691	-1.906	-7.541	16.068
692	-1.408	-7.445	17.495
693	-1.408	-7.445	17.495
694	-2.677	-8.049	17.351
695	-3.937	-8.772	16.255
696	-3.937	-8.772	16.255
697	-3.937	-8.772	16.255
698	-4.095	-9.528	14.335
699	-4.095	-9.528	14.335
700	-3.118	-9.572	13.19
701	-3.118	-9.572	13.19
702	-3.118	-9.572	13.19
703	-0.614	-8.901	15.431
704	-0.614	-8.901	15.431
705	1.847	-7.872	17.663
706	1.847	-7.872	17.663
707	1.847	-7.872	17.663
708	3.221	-6.818	17.768
709	3.221	-6.818	17.768
710	3.269	-6.268	16.662
711	3.269	-6.268	16.662
712	3.269	-6.268	16.662
713	2.373	-5.549	14.579
714	2.373	-5.549	14.579
715	0.343	-5.832	12.525
716	0.343	-5.832	12.525
717	0.343	-5.832	12.525
718	-1.38	-6.435	10.767
719	-1.38	-6.435	10.767
720	-2.155	-6.397	10.322
721	-2.155	-6.397	10.322
722	-2.155	-6.397	10.322
723	-0.374	-5.793	12.386
724	-0.374	-5.793	12.386
725	1.88	-3.936	13.162
726	1.88	-3.936	13.162
727	1.88	-3.936	13.162
728	3.13	-3.045	13.588
729	3.13	-3.045	13.588
730	3.633	-2.442	12.079
731	3.633	-2.442	12.079
732	3.633	-2.442	12.079
733	4.059	-1.316	9.599
734	4.159	-0.359	7.554
735	4.159	-0.359	7.554
736	4.159	-0.359	7.554
737	4.404	0.301	6.539
738	4.404	0.301	6.539
739	3.451	0.248	7.301
740	3.451	0.248	7.301
741	3.451	0.248	7.301
742	2.072	-0.651	8.019
743	2.072	-0.651	8.019
744	0.731	-1.426	9.072
745	0.731	-1.426	9.072
746	0.731	-1.426	9.072
747	-0.408	-2.217	8.847
748	-0.408	-2.217	8.847
749	-0.063	-2.202	9.374
750	-0.063	-2.202	9.374
751	-0.063	-2.202	9.374
752	1.492	-1.556	9.69
753	1.492	-1.556	9.69
754	3.302	-0.598	10.298
755	3.302	-0.598	10.298
756	3.302	-0.598	10.298
757	4.71	0.272	10.279
758	4.71	0.272	10.279
759	5.888	0.799	9.269
760	5.888	0.799	9.269
761	5.888	0.799	9.269
762	6.75	1.522	8.704
763	6.75	1.522	8.704
764	7.09	1.805	8.435
765	7.09	1.805	8.435
766	7.09	1.805	8.435
767	6.755	1.699	8.397
768	6.755	1.699	8.397
769	5.835	1.493	9.111
770	4.562	0.914	9.585
771	4.562	0.914	9.585
772	4.562	0.914	9.585
773	3.532	0.584	9.815
774	3.532	0.584	9.815
775	3.049	0.622	9.987
776	3.049	0.622	9.987
777	3.049	0.622	9.987
778	3.005	0.689	9.566
779	3.005	0.689	9.566
780	3.47	1.173	9.259
781	3.47	1.173	9.259
782	3.47	1.173	9.259
783	3.527	1.383	9.369
784	3.527	1.383	9.369
785	3.341	1.297	8.306
786	3.341	1.297	8.306
787	3.341	1.297	8.306
788	3.135	1.675	7.1
789	3.135	1.675	7.1
790	2.823	1.896	6.563
791	2.823	1.896	6.563
792	2.823	1.896	6.563
793	2.555	1.857	7.071
794	2.555	1.857	7.071
795	2.211	1.637	8.512
796	2.211	1.637	8.512
797	2.211	1.637	8.512
798	1.487	1.302	9.345
799	1.487	1.302	9.345
800	0.702	0.991	9.494
801	0.702	0.991	9.494
802	0.702	0.991	9.494
