Point	x	y	z
438	0.338	9.629	1.148
439	0.338	9.629	1.148
440	0.338	9.629	1.148
441	0.865	9.926	1.851
442	0.865	9.926	1.851
443	1.387	10.352	1.004
444	1.387	10.352	1.004
445	1.387	10.352	1.004
446	1.195	10.084	1.736
447	1.195	10.084	1.736
448	1.181	10.07	1.507
449	1.181	10.07	1.507
450	1.181	10.07	1.507
