Point	x	y	z
314	2.373	-5.549	14.579
315	0.343	-5.832	12.525
316	0.343	-5.832	12.525
317	0.343	-5.832	12.525
318	-1.38	-6.435	10.767
319	-1.38	-6.435	10.767
320	-2.155	-6.397	10.322
321	-2.155	-6.397	10.322
322	-2.155	-6.397	10.322
323	-0.374	-5.793	12.386
324	-0.374	-5.793	12.386
325	1.88	-3.936	13.162
326	1.88	-3.936	13.162
327	1.88	-3.936	13.162
328	3.13	-3.045	13.588
329	3.13	-3.045	13.588
330	3.633	-2.442	12.079
331	3.633	-2.442	12.079
332	3.633	-2.442	12.079
333	4.059	-1.316	9.599
334	4.159	-0.359	7.554
335	4.159	-0.359	7.554
336	4.159	-0.359	7.554
337	4.404	0.301	6.539
338	4.404	0.301	6.539
339	3.451	0.248	7.301
340	3.451	0.248	7.301
341	3.451	0.248	7.301
342	2.072	-0.651	8.019
343	2.072	-0.651	8.019
344	0.731	-1.426	9.072
345	0.731	-1.426	9.072
346	0.731	-1.426	9.072
347	-0.408	-2.217	8.847
348	-0.408	-2.217	8.847
349	-0.063	-2.202	9.374
350	-0.063	-2.202	9.374
351	-0.063	-2.202	9.374
352	1.492	-1.556	9.69
353	1.492	-1.556	9.69
354	3.302	-0.598	10.298
355	3.302	-0.598	10.298
356	3.302	-0.598	10.298
357	4.71	0.272	10.279
358	4.71	0.272	10.279
359	5.888	0.799	9.269
360	5.888	0.799	9.269
361	5.888	0.799	9.269
362	6.75	1.522	8.704
363	6.75	1.522	8.704
364	7.09	1.805	8.435
365	7.09	1.805	8.435
366	7.09	1.805	8.435
367	6.755	1.699	8.397
368	6.755	1.699	8.397
369	5.835	1.493	9.111
370	4.562	0.914	9.585
371	4.562	0.914	9.585
372	4.562	0.914	9.585
373	3.532	0.584	9.815
374	3.532	0.584	9.815
375	3.049	0.622	9.987
376	3.049	0.622	9.987
377	3.049	0.622	9.987
378	3.005	0.689	9.566
379	3.005	0.689	9.566
380	3.47	1.173	9.259
381	3.47	1.173	9.259
382	3.47	1.173	9.259
383	3.527	1.383	9.369
384	3.527	1.383	9.369
385	3.341	1.297	8.306
386	3.341	1.297	8.306
387	3.341	1.297	8.306
388	3.135	1.675	7.1
389	3.135	1.675	7.1
390	2.823	1.896	6.563
391	2.823	1.896	6.563
392	2.823	1.896	6.563
393	2.555	1.857	7.071
394	2.555	1.857	7.071
395	2.211	1.637	8.512
396	2.211	1.637	8.512
397	2.211	1.637	8.512
398	1.487	1.302	9.345
399	1.487	1.302	9.345
400	0.702	0.991	9.494
401	0.702	0.991	9.494
402	0.702	0.991	9.494
403	-0.058	0.794	9.374
404	-0.058	0.794	9.374
405	-0.475	0.766	9.034
406	-0.475	0.766	9.034
407	-0.475	0.766	9.034
408	-0.298	1.067	8.531
409	-0.298	1.067	8.531
410	0.295	1.532	8.44
411	0.295	1.532	8.44
412	0.712	1.905	8.388
413	0.712	1.905	8.388
414	0.764	2.063	8.095
415	0.764	2.063	8.095
416	0.764	2.063	8.095
417	0.611	2.02	7.995
418	0.611	2.02	7.995
419	0.295	1.939	8.412
420	0.295	1.939	8.412
421	0.295	1.939	8.412
422	0.022	1.561	9.154
423	0.022	1.561	9.154
424	-0.034	1.335	10.083
425	-0.034	1.335	10.083
426	-0.034	1.335	10.083
427	-0.096	1.187	10.715
428	-0.096	1.187	10.715
429	-0.307	0.948	10.94
430	-0.307	0.948	10.94
431	-0.307	0.948	10.94
432	-0.427	0.852	10.691
433	-0.427	0.852	10.691
434	-0.47	0.928	10.025
435	-0.47	0.928	10.025
436	-0.47	0.928	10.025
437	-0.288	1.048	9.475
438	-0.288	1.048	9.475
439	-0.034	1.187	9.235
440	-0.034	1.187	9.235
441	-0.034	1.187	9.235
442	0.013	1.244	9.211
443	0.013	1.244	9.211
444	-0.005	1.168	9.542
445	0.017	1.096	9.891
446	0.017	1.096	9.891
447	0.017	1.096	9.891
448	0.017	1.096	9.891
449	-0.116	0.962	10.178
450	-0.015	0.952	10.231
451	-0.015	0.952	10.231
452	-0.015	0.952	10.231
453	-0.082	0.972	10.169
454	-0.082	0.972	10.169
455	-0.173	0.905	10.011
456	-0.173	0.905	10.011
457	-0.173	0.905	10.011
458	-0.245	0.972	9.757
459	-0.245	0.972	9.757
460	-0.116	1.058	9.661
461	-0.116	1.058	9.661
462	-0.116	1.058	9.661
463	0.137	1.125	9.542
464	0.137	1.125	9.542
465	0.338	1.273	9.594
466	0.338	1.273	9.594
467	0.338	1.273	9.594
468	0.582	1.369	9.925
469	0.582	1.369	9.925
470	0.563	1.326	9.939
471	0.563	1.326	9.939
472	0.563	1.326	9.939
473	0.372	1.288	9.8
474	0.372	1.288	9.8
475	0.142	1.211	9.771
476	0.142	1.211	9.771
477	0.142	1.211	9.771
478	0.094	1.206	9.747
479	0.094	1.206	9.747
480	0.18	1.268	9.867
481	0.18	1.268	9.867
482	0.18	1.268	9.867
483	0.223	1.24	9.953
484	0.223	1.24	9.953
485	0.238	1.312	9.791
486	0.238	1.312	9.791
487	0.238	1.312	9.791
488	0.3	1.364	9.465
489	0.458	1.388	9.436
490	0.458	1.388	9.436
491	0.458	1.388	9.436
492	0.429	1.307	9.637
493	0.429	1.307	9.637
494	0.396	1.225	9.776
495	0.396	1.225	9.776
496	0.396	1.225	9.776
497	0.31	1.173	9.949
498	0.31	1.173	9.949
499	0.247	1.11	9.896
500	0.247	1.11	9.896
501	0.247	1.11	9.896
